model_family,candidate_id,scaler,alpha,l1_ratio,mean_log_rmse,std_log_rmse,fold_scores,fit_time_seconds,rank
ElasticNet,105,robust,0.003,0.3,0.11192302418864938,0.008450441078071008,"[np.float64(0.11068), np.float64(0.11005), np.float64(0.12267), np.float64(0.11829), np.float64(0.09792)]",0.4198892116546631,57
ElasticNet,37,robust,0.0007,0.15,0.11193069440561905,0.007975204742666473,"[np.float64(0.11095), np.float64(0.1129), np.float64(0.11717), np.float64(0.12104), np.float64(0.09759)]",2.0481343269348145,58
Ridge,23,robust,20.0,,0.11196667455600458,0.00881898121923209,"[np.float64(0.11344), np.float64(0.10938), np.float64(0.11876), np.float64(0.12173), np.float64(0.09652)]",0.2054119110107422,59
ElasticNet,11,robust,0.0003,0.4,0.11217788158978037,0.007786281228940572,"[np.float64(0.11103), np.float64(0.11359), np.float64(0.11731), np.float64(0.12086), np.float64(0.0981)]",2.1213219165802,60
Ridge,15,robust,5.0,,0.11222998746749129,0.008401324449733221,"[np.float64(0.11312), np.float64(0.11154), np.float64(0.11743), np.float64(0.12198), np.float64(0.09708)]",0.20975017547607422,61
ElasticNet,93,robust,0.002,0.5,0.11223902120124123,0.0084644417938016,"[np.float64(0.11088), np.float64(0.11027), np.float64(0.12321), np.float64(0.11848), np.float64(0.09835)]",0.45682287216186523,62
ElasticNet,23,robust,0.0005,0.2,0.1123322865119976,0.00787989437747673,"[np.float64(0.11143), np.float64(0.11361), np.float64(0.1173), np.float64(0.12126), np.float64(0.09806)]",2.19804310798645,63
Ridge,25,robust,30.0,,0.1123463039677135,0.008916048750633721,"[np.float64(0.11407), np.float64(0.10941), np.float64(0.1195), np.float64(0.12197), np.float64(0.09679)]",0.19290614128112793,64
ElasticNet,79,robust,0.0015,0.7,0.11245376237833189,0.008432274886594619,"[np.float64(0.11116), np.float64(0.11042), np.float64(0.12347), np.float64(0.11858), np.float64(0.09864)]",0.503227710723877,65
ElasticNet,122,standard,0.005,0.3,0.11247682304516016,0.007281392581957516,"[np.float64(0.10951), np.float64(0.11428), np.float64(0.11724), np.float64(0.12126), np.float64(0.1001)]",0.335921049118042,66
ElasticNet,150,standard,0.01,0.15,0.11251121459742999,0.007369806368858381,"[np.float64(0.10952), np.float64(0.11449), np.float64(0.11714), np.float64(0.12145), np.float64(0.09996)]",0.32349085807800293,67
ElasticNet,110,standard,0.003,0.5,0.11256285561631345,0.007285007566966631,"[np.float64(0.10954), np.float64(0.11435), np.float64(0.11744), np.float64(0.12129), np.float64(0.10019)]",0.3610348701477051,68
ElasticNet,136,standard,0.007,0.2,0.11268803678324346,0.007339467052788369,"[np.float64(0.10979), np.float64(0.11451), np.float64(0.11718), np.float64(0.12174), np.float64(0.10022)]",0.29779815673828125,69
ElasticNet,35,robust,0.0007,0.1,0.11273679977714388,0.007907025168241344,"[np.float64(0.11242), np.float64(0.11399), np.float64(0.11723), np.float64(0.12177), np.float64(0.09827)]",2.5456526279449463,70
ElasticNet,49,robust,0.001,0.05,0.1128052496456208,0.007985549461642701,"[np.float64(0.11281), np.float64(0.1139), np.float64(0.11721), np.float64(0.12194), np.float64(0.09815)]",2.4625792503356934,71
ElasticNet,119,robust,0.005,0.2,0.1128434921650981,0.008680547376430934,"[np.float64(0.11223), np.float64(0.11025), np.float64(0.12374), np.float64(0.11952), np.float64(0.09847)]",0.46555495262145996,72
ElasticNet,96,standard,0.002,0.7,0.11285571498319324,0.007307339280571929,"[np.float64(0.10986), np.float64(0.11463), np.float64(0.11758), np.float64(0.12174), np.float64(0.10046)]",0.4485909938812256,73
Ridge,13,robust,3.0,,0.1129441389791835,0.0082355642965448,"[np.float64(0.11368), np.float64(0.11317), np.float64(0.11754), np.float64(0.12246), np.float64(0.09788)]",0.19439959526062012,74
ElasticNet,21,robust,0.0005,0.15,0.11302775894143799,0.007832211221599163,"[np.float64(0.11272), np.float64(0.11453), np.float64(0.11735), np.float64(0.12191), np.float64(0.09864)]",2.4060747623443604,75
ElasticNet,9,robust,0.0003,0.3,0.11309129157016251,0.0077464021368542245,"[np.float64(0.11275), np.float64(0.11463), np.float64(0.11748), np.float64(0.12176), np.float64(0.09884)]",2.2885868549346924,76
Ridge,27,robust,50.0,,0.11316945807286669,0.009019710994750005,"[np.float64(0.11539), np.float64(0.1098), np.float64(0.12061), np.float64(0.12259), np.float64(0.09747)]",0.1910405158996582,77
ElasticNet,108,standard,0.003,0.4,0.11325311579185984,0.007308333244758526,"[np.float64(0.11046), np.float64(0.11487), np.float64(0.11752), np.float64(0.12251), np.float64(0.1009)]",0.3854377269744873,78
ElasticNet,133,robust,0.007,0.15,0.1134505455600878,0.008790155196249988,"[np.float64(0.11315), np.float64(0.11049), np.float64(0.1243), np.float64(0.1204), np.float64(0.09891)]",0.4323112964630127,79
ElasticNet,134,standard,0.007,0.15,0.11360821635621494,0.0074093965806039126,"[np.float64(0.111), np.float64(0.11524), np.float64(0.11736), np.float64(0.12333), np.float64(0.1011)]",0.34710121154785156,80
ElasticNet,107,robust,0.003,0.4,0.11364019553208357,0.008954354747718904,"[np.float64(0.1132), np.float64(0.1107), np.float64(0.12502), np.float64(0.12037), np.float64(0.0989)]",0.39496779441833496,81
ElasticNet,147,robust,0.01,0.1,0.11365656407268973,0.0088602390538624,"[np.float64(0.11349), np.float64(0.11067), np.float64(0.12435), np.float64(0.12086), np.float64(0.09891)]",0.46843934059143066,82
ElasticNet,160,standard,0.01,0.7,0.11368318156167252,0.007195588036680921,"[np.float64(0.11186), np.float64(0.11445), np.float64(0.12275), np.float64(0.11807), np.float64(0.10129)]",0.22805452346801758,83
ElasticNet,120,standard,0.005,0.2,0.11374996518925962,0.007404207920705255,"[np.float64(0.11119), np.float64(0.11529), np.float64(0.11749), np.float64(0.12352), np.float64(0.10127)]",0.31500959396362305,84
Ridge,11,robust,2.0,,0.1137628866954741,0.008123706597474837,"[np.float64(0.11446), np.float64(0.11467), np.float64(0.11784), np.float64(0.12309), np.float64(0.09876)]",0.21351909637451172,85
ElasticNet,80,standard,0.0015,0.7,0.1137643255686533,0.007396251080813505,"[np.float64(0.11106), np.float64(0.11535), np.float64(0.11779), np.float64(0.12334), np.float64(0.10128)]",0.5344901084899902,86
ElasticNet,148,standard,0.01,0.1,0.1137914551369253,0.007463840557881458,"[np.float64(0.11117), np.float64(0.11556), np.float64(0.11734), np.float64(0.12367), np.float64(0.10121)]",0.36161184310913086,87
ElasticNet,94,standard,0.002,0.5,0.11387230662976042,0.007398896386893515,"[np.float64(0.11123), np.float64(0.1154), np.float64(0.11775), np.float64(0.12357), np.float64(0.10141)]",0.49109840393066406,88
ElasticNet,19,robust,0.0005,0.1,0.11392096675632943,0.007928366933732086,"[np.float64(0.1142), np.float64(0.11568), np.float64(0.11761), np.float64(0.12292), np.float64(0.0992)]",2.94305419921875,89
ElasticNet,33,robust,0.0007,0.05,0.11400489931217642,0.007975105245974827,"[np.float64(0.11432), np.float64(0.11566), np.float64(0.11772), np.float64(0.1231), np.float64(0.09922)]",3.611790657043457,90
ElasticNet,106,standard,0.003,0.3,0.11415864903269615,0.007433672341050146,"[np.float64(0.11166), np.float64(0.11566), np.float64(0.11776), np.float64(0.12407), np.float64(0.10165)]",0.373180627822876,91
