search_type,oof_log_rmse,weights
random_dirichlet,0.12707561909082452,0.72845 | 0.00563 | 0.05130 | 0.04550 | 0.09855 | 0.07057
random_dirichlet,0.12707584962334523,0.59679 | 0.03717 | 0.02645 | 0.10945 | 0.09106 | 0.13908
random_dirichlet,0.12707593121320196,0.61053 | 0.10751 | 0.18134 | 0.00164 | 0.06802 | 0.03096
random_dirichlet,0.12707603881315263,0.52882 | 0.18266 | 0.02605 | 0.02748 | 0.17211 | 0.06289
random_dirichlet,0.12707613323632597,0.72067 | 0.02989 | 0.02297 | 0.04487 | 0.09597 | 0.08564
random_dirichlet,0.12707616204695302,0.60341 | 0.06013 | 0.04573 | 0.14255 | 0.07140 | 0.07679
random_dirichlet,0.1270764175991287,0.58906 | 0.01735 | 0.08564 | 0.19863 | 0.06771 | 0.04161
random_dirichlet,0.12707648901138094,0.54079 | 0.02665 | 0.10508 | 0.03773 | 0.27771 | 0.01205
random_dirichlet,0.12707660276301802,0.61483 | 0.06158 | 0.10221 | 0.01021 | 0.08412 | 0.12706
random_dirichlet,0.12707669246500714,0.61351 | 0.02683 | 0.04466 | 0.10663 | 0.07818 | 0.13019
random_dirichlet,0.12707691198472362,0.54345 | 0.05165 | 0.12959 | 0.04502 | 0.12627 | 0.10402
random_dirichlet,0.12707716062752802,0.56658 | 0.02323 | 0.08404 | 0.10851 | 0.10279 | 0.11486
random_dirichlet,0.12707757952311566,0.56058 | 0.03784 | 0.10445 | 0.06466 | 0.11172 | 0.12076
random_dirichlet,0.1270784956751272,0.69412 | 0.02123 | 0.09956 | 0.03063 | 0.06165 | 0.09281
random_dirichlet,0.12707857590381727,0.54711 | 0.13748 | 0.00213 | 0.14187 | 0.11475 | 0.05666
random_dirichlet,0.12707864787016288,0.55336 | 0.01893 | 0.11728 | 0.22478 | 0.08324 | 0.00241
random_dirichlet,0.12707865845575983,0.61456 | 0.01410 | 0.02120 | 0.14890 | 0.07369 | 0.12756
random_dirichlet,0.1270792516135249,0.52960 | 0.00033 | 0.11391 | 0.15987 | 0.12229 | 0.07401
random_dirichlet,0.12707957294067673,0.51383 | 0.19736 | 0.06607 | 0.04917 | 0.16714 | 0.00644
random_dirichlet,0.12707962829588063,0.49016 | 0.03729 | 0.21734 | 0.09183 | 0.16140 | 0.00199
random_dirichlet,0.12707962932020678,0.52324 | 0.00748 | 0.02013 | 0.04718 | 0.20147 | 0.20050
random_dirichlet,0.12707963895039787,0.67063 | 0.23320 | 0.00094 | 0.00667 | 0.08689 | 0.00167
random_dirichlet,0.12707977383831132,0.56093 | 0.20119 | 0.01589 | 0.04540 | 0.11761 | 0.05897
random_dirichlet,0.12708003694778006,0.73088 | 0.02463 | 0.09245 | 0.01244 | 0.11872 | 0.02088
random_dirichlet,0.127080389480999,0.56695 | 0.08463 | 0.15422 | 0.02770 | 0.09584 | 0.07065
random_dirichlet,0.12708089404117853,0.68286 | 0.05806 | 0.00407 | 0.15343 | 0.04370 | 0.05787
random_dirichlet,0.1270809175499116,0.66995 | 0.04104 | 0.08074 | 0.10572 | 0.04369 | 0.05886
random_dirichlet,0.12708209291530354,0.67978 | 0.08275 | 0.18093 | 0.00745 | 0.04310 | 0.00599
random_dirichlet,0.12708212350045628,0.56731 | 0.00927 | 0.08545 | 0.07344 | 0.10970 | 0.15484
random_dirichlet,0.1270825560668662,0.68240 | 0.02978 | 0.04115 | 0.13124 | 0.04348 | 0.07195
random_dirichlet,0.12708262175352714,0.59049 | 0.10601 | 0.01256 | 0.17388 | 0.07023 | 0.04683
random_dirichlet,0.12708283615510002,0.49348 | 0.00002 | 0.15050 | 0.15242 | 0.15873 | 0.04485
random_dirichlet,0.12708360743645275,0.67722 | 0.00153 | 0.01244 | 0.16994 | 0.04450 | 0.09437
random_dirichlet,0.12708361301180612,0.50123 | 0.01731 | 0.25545 | 0.03521 | 0.15112 | 0.03968
random_dirichlet,0.12708429496719822,0.58024 | 0.05839 | 0.08604 | 0.09723 | 0.08395 | 0.09414
random_dirichlet,0.1270844295648952,0.60389 | 0.09090 | 0.03386 | 0.18184 | 0.05683 | 0.03267
random_dirichlet,0.12708454191784335,0.50912 | 0.00446 | 0.16744 | 0.01985 | 0.17041 | 0.12873
random_dirichlet,0.1270848145313131,0.69284 | 0.01439 | 0.02152 | 0.00230 | 0.08838 | 0.18056
random_dirichlet,0.12708492651083714,0.49213 | 0.01886 | 0.02086 | 0.14959 | 0.19987 | 0.11870
random_dirichlet,0.12708499968650672,0.73570 | 0.02253 | 0.01837 | 0.16422 | 0.04521 | 0.01397
random_dirichlet,0.12708560870608218,0.60452 | 0.07498 | 0.22484 | 0.03442 | 0.05369 | 0.00755
random_dirichlet,0.12708582295811607,0.51849 | 0.08404 | 0.02579 | 0.19423 | 0.12940 | 0.04804
random_dirichlet,0.12708620804582094,0.49864 | 0.04992 | 0.18919 | 0.12257 | 0.13923 | 0.00045
random_dirichlet,0.12708667271916121,0.57378 | 0.05043 | 0.16269 | 0.11212 | 0.07097 | 0.03001
random_dirichlet,0.1270869941238764,0.72326 | 0.04757 | 0.08030 | 0.05705 | 0.05499 | 0.03683
random_dirichlet,0.12708729910955602,0.50278 | 0.04852 | 0.08873 | 0.04326 | 0.18772 | 0.12899
random_dirichlet,0.12708736276299548,0.65214 | 0.10078 | 0.07523 | 0.02008 | 0.05887 | 0.09290
random_dirichlet,0.12708738409500944,0.50287 | 0.02172 | 0.11973 | 0.05675 | 0.17539 | 0.12354
random_dirichlet,0.12708792243199846,0.52830 | 0.03030 | 0.09072 | 0.05293 | 0.28755 | 0.01020
random_dirichlet,0.12708815564245782,0.56798 | 0.21196 | 0.05393 | 0.02666 | 0.09897 | 0.04049
random_dirichlet,0.1270883202405941,0.52870 | 0.05425 | 0.17523 | 0.13883 | 0.10134 | 0.00165
random_dirichlet,0.12708857562382808,0.49073 | 0.12827 | 0.03595 | 0.09035 | 0.24662 | 0.00807
random_dirichlet,0.12708877613337602,0.52836 | 0.04213 | 0.01468 | 0.03752 | 0.27156 | 0.10575
random_dirichlet,0.12708901886942545,0.56563 | 0.00413 | 0.22934 | 0.03271 | 0.08682 | 0.08137
random_dirichlet,0.12708902526874893,0.74430 | 0.04200 | 0.01963 | 0.07258 | 0.10251 | 0.01898
random_dirichlet,0.12708952165670406,0.62450 | 0.03853 | 0.03831 | 0.18706 | 0.04722 | 0.06439
random_dirichlet,0.12708962379375946,0.71882 | 0.07999 | 0.10797 | 0.02105 | 0.05455 | 0.01761
random_dirichlet,0.1270898079293965,0.54017 | 0.07695 | 0.07401 | 0.20193 | 0.09296 | 0.01399
random_dirichlet,0.12708982911104133,0.56172 | 0.03112 | 0.06044 | 0.15014 | 0.09320 | 0.10339
random_dirichlet,0.12708999536119783,0.63299 | 0.03978 | 0.16102 | 0.09388 | 0.03926 | 0.03308
random_dirichlet,0.12709009596358323,0.55050 | 0.07593 | 0.21948 | 0.02749 | 0.09199 | 0.03462
random_dirichlet,0.12709011096701164,0.63871 | 0.03295 | 0.07943 | 0.11879 | 0.04674 | 0.08337
random_dirichlet,0.12709024165252258,0.73682 | 0.06392 | 0.07870 | 0.04795 | 0.06690 | 0.00570
random_dirichlet,0.12709030104537047,0.51269 | 0.17893 | 0.03440 | 0.13729 | 0.13502 | 0.00168
random_dirichlet,0.1270903548293007,0.51954 | 0.11331 | 0.05016 | 0.06860 | 0.14804 | 0.10035
random_dirichlet,0.12709044162534994,0.60901 | 0.04649 | 0.07579 | 0.16518 | 0.05140 | 0.05214
