search_type,oof_log_rmse,weights
random_dirichlet,0.12702863530211034,0.64224 | 0.03589 | 0.01199 | 0.10019 | 0.11834 | 0.09135
random_dirichlet,0.12702869153667173,0.63488 | 0.07379 | 0.09509 | 0.02639 | 0.12281 | 0.04704
random_dirichlet,0.12702893079235902,0.61932 | 0.00576 | 0.07127 | 0.02190 | 0.19867 | 0.08308
random_dirichlet,0.12703007008471548,0.54802 | 0.01393 | 0.15649 | 0.02143 | 0.20662 | 0.05350
random_dirichlet,0.12703022846691397,0.56195 | 0.04415 | 0.00815 | 0.17828 | 0.14478 | 0.06269
random_dirichlet,0.12703080036577738,0.61616 | 0.04656 | 0.17359 | 0.01622 | 0.10874 | 0.03873
random_dirichlet,0.12703101888995486,0.62274 | 0.07660 | 0.16259 | 0.03003 | 0.10080 | 0.00724
random_dirichlet,0.12703105243233617,0.62184 | 0.01692 | 0.03354 | 0.18383 | 0.09215 | 0.05173
random_dirichlet,0.127032766687257,0.54204 | 0.07873 | 0.00734 | 0.13207 | 0.20318 | 0.03664
random_dirichlet,0.12703448824312297,0.66486 | 0.07450 | 0.08381 | 0.02610 | 0.12194 | 0.02880
random_dirichlet,0.12703537643210938,0.63582 | 0.12920 | 0.03468 | 0.07563 | 0.10644 | 0.01823
random_dirichlet,0.1270363608563867,0.66975 | 0.02108 | 0.08894 | 0.02592 | 0.11813 | 0.07618
random_dirichlet,0.12703654294436598,0.53834 | 0.06797 | 0.21276 | 0.01203 | 0.16720 | 0.00171
random_dirichlet,0.12703734406262124,0.53144 | 0.03603 | 0.20159 | 0.00836 | 0.19660 | 0.02598
random_dirichlet,0.12703734505194372,0.55802 | 0.08222 | 0.07083 | 0.03296 | 0.19417 | 0.06181
random_dirichlet,0.12703746561777005,0.59158 | 0.02508 | 0.07616 | 0.20956 | 0.08932 | 0.00830
random_dirichlet,0.12703748609399523,0.62144 | 0.04341 | 0.03679 | 0.12137 | 0.09986 | 0.07712
random_dirichlet,0.12703762076036962,0.66787 | 0.10135 | 0.04411 | 0.04426 | 0.14214 | 0.00026
random_dirichlet,0.1270382119921168,0.65378 | 0.03745 | 0.09284 | 0.14360 | 0.06858 | 0.00375
random_dirichlet,0.12703833138575313,0.62634 | 0.00415 | 0.04268 | 0.05421 | 0.21939 | 0.05324
random_dirichlet,0.12703856941188035,0.70618 | 0.00178 | 0.05041 | 0.11011 | 0.10740 | 0.02413
random_dirichlet,0.12703976246182094,0.54273 | 0.11120 | 0.00359 | 0.12064 | 0.21923 | 0.00262
random_dirichlet,0.12703986993590652,0.56557 | 0.01057 | 0.09155 | 0.00834 | 0.21815 | 0.10581
random_dirichlet,0.12704000579999794,0.52480 | 0.09995 | 0.03458 | 0.16115 | 0.17820 | 0.00132
random_dirichlet,0.12704046490406742,0.60140 | 0.10034 | 0.00568 | 0.17865 | 0.09441 | 0.01952
random_dirichlet,0.12704081203487955,0.54968 | 0.02835 | 0.11663 | 0.01058 | 0.21678 | 0.07798
random_dirichlet,0.12704145011173626,0.54109 | 0.00062 | 0.01227 | 0.24085 | 0.14412 | 0.06105
random_dirichlet,0.12704157587776774,0.67005 | 0.00410 | 0.03363 | 0.02844 | 0.14116 | 0.12263
random_dirichlet,0.12704162131437377,0.69552 | 0.01017 | 0.04553 | 0.09144 | 0.10141 | 0.05592
random_dirichlet,0.1270420199630321,0.57634 | 0.05896 | 0.05204 | 0.06757 | 0.23781 | 0.00728
random_dirichlet,0.12704240615995732,0.64726 | 0.04346 | 0.11862 | 0.00363 | 0.10421 | 0.08281
random_dirichlet,0.12704252572451855,0.54963 | 0.04513 | 0.04983 | 0.10299 | 0.24809 | 0.00433
