model_name,feature,mean_coefficient,std_coefficient,mean_abs_coefficient,positive_fold_count,negative_fold_count,nonzero_fold_count,coefficient_direction
ElasticNet_RobustScaler_baseline,Exterior1st__VinylSd,0.0011063815708987619,0.0024739444015826344,0.0011063815708987619,1,0,1,positive
ElasticNet_RobustScaler_baseline,Exterior1st__Wd Sdng,-0.024388289996002503,0.01390756997139405,0.024388289996002503,0,5,5,negative
ElasticNet_RobustScaler_baseline,Exterior1st__WdShing,0.0010804193060177957,0.0024158910124589387,0.0010804193060177957,1,0,1,positive
ElasticNet_RobustScaler_baseline,Exterior2nd__AsbShng,-0.004669258708079851,0.010440779875799392,0.004669258708079851,0,1,1,negative
ElasticNet_RobustScaler_baseline,Exterior2nd__BrkFace,-0.013293670805709017,0.01779102055356613,0.013293670805709017,0,4,4,negative
ElasticNet_RobustScaler_baseline,Exterior2nd__CmentBd,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,Exterior2nd__HdBoard,-0.0015527794760435622,0.001470125683064026,0.0015527794760435622,0,3,3,negative
ElasticNet_RobustScaler_baseline,Exterior2nd__ImStucc,4.659002278973245e-05,0.00010417845803110614,4.659002278973245e-05,1,0,1,positive
ElasticNet_RobustScaler_baseline,Exterior2nd__MetalSd,0.00024247043465415257,0.0005421803744206059,0.00024247043465415257,1,0,1,positive
ElasticNet_RobustScaler_baseline,Exterior2nd__Plywood,-0.009344596039931187,0.006914852247140496,0.009344596039931187,0,5,5,negative
ElasticNet_RobustScaler_baseline,Exterior2nd__Rare,-3.5490949980705714e-05,7.936017674290281e-05,3.5490949980705714e-05,0,1,1,negative
ElasticNet_RobustScaler_baseline,Exterior2nd__Stucco,0.006088984077185717,0.007453655719046294,0.006088984077185717,3,0,3,positive
ElasticNet_RobustScaler_baseline,Exterior2nd__VinylSd,0.007230524695796571,0.009589740023894925,0.007230524695796571,3,0,3,positive
ElasticNet_RobustScaler_baseline,Exterior2nd__Wd Sdng,0.013328656708648915,0.01386044132466029,0.013328656708648915,5,0,5,positive
ElasticNet_RobustScaler_baseline,Exterior2nd__Wd Shng,-0.0028951844292857552,0.00498357738966407,0.0028951844292857552,0,2,2,negative
ElasticNet_RobustScaler_baseline,ExteriorMatched,-0.004058909473960539,0.0045192099646601215,0.004058909473960539,0,4,4,negative
ElasticNet_RobustScaler_baseline,ExteriorQualityScore,0.0034079236621758465,0.004365399870028788,0.0034079236621758465,3,0,3,positive
ElasticNet_RobustScaler_baseline,Fence_Ord,-0.0010294984261139388,0.0018027255353987935,0.0012186335420358873,1,2,3,negative
ElasticNet_RobustScaler_baseline,Fence__GdPrv,0.0025854498768351076,0.00578124167702176,0.0025854498768351076,1,0,1,positive
ElasticNet_RobustScaler_baseline,Fence__GdWo,-0.009882931718623103,0.007756755139404202,0.009882931718623103,0,4,4,negative
ElasticNet_RobustScaler_baseline,Fence__MnPrv,0.010023227365369999,0.007251578194181872,0.010023227365369999,4,0,4,positive
ElasticNet_RobustScaler_baseline,Fence__MnWw,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,Fence__NoFeature,0.002838998669360362,0.003196840043717571,0.002838998669360362,3,0,3,positive
ElasticNet_RobustScaler_baseline,FireplaceQu_Ord,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,FireplaceQu__Ex,0.00021725706200273,0.0004858015592299909,0.00021725706200273,1,0,1,positive
ElasticNet_RobustScaler_baseline,FireplaceQu__Fa,-0.002755371378341662,0.003947826059715608,0.002755371378341662,0,3,3,negative
ElasticNet_RobustScaler_baseline,FireplaceQu__Gd,0.003016412610743734,0.008394275473695003,0.0049401058096611595,2,1,3,positive
ElasticNet_RobustScaler_baseline,FireplaceQu__NoFeature,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,FireplaceQu__Po,0.0057039835063285044,0.011641583036431428,0.0057039835063285044,2,0,2,positive
ElasticNet_RobustScaler_baseline,FireplaceQu__TA,0.0010158616709465564,0.0010321839358865916,0.0010158616709465564,4,0,4,positive
ElasticNet_RobustScaler_baseline,Fireplaces,0.015527254630852222,0.005169386773946032,0.015527254630852222,5,0,5,positive
ElasticNet_RobustScaler_baseline,Foundation__BrkTil,-0.016786571894206664,0.011237017943820165,0.016786571894206664,0,4,4,negative
ElasticNet_RobustScaler_baseline,Foundation__CBlock,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,Foundation__PConc,0.017238766829523227,0.0061654598330010595,0.017238766829523227,5,0,5,positive
ElasticNet_RobustScaler_baseline,Foundation__Slab,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,Foundation__Stone,0.03994384797309246,0.026055542075152833,0.03994384797309246,4,0,4,positive
ElasticNet_RobustScaler_baseline,Foundation__Wood,-0.010012231086363337,0.016480235382255123,0.010012231086363337,0,2,2,negative
ElasticNet_RobustScaler_baseline,FullBath,0.028093090336943138,0.008138905859074931,0.028093090336943138,5,0,5,positive
