model_name,feature,mean_importance,std_importance,max_importance
CatBoost_research_v1,BldgType__1Fam,0.05433564896156229,0.031309762607493935,0.09760440251182168
CatBoost_research_v1,BsmtCond_Ord,0.04539678027562897,0.04559531060211404,0.12265184706131993
CatBoost_research_v1,PavedDrive__N,0.0430320852357755,0.045989488587050834,0.11131440933256224
CatBoost_research_v1,GarageType__Detchd,0.04300604851098226,0.03588464158429081,0.09279823201615331
CatBoost_research_v1,GarageFinish__Fin,0.042955336030127,0.040265870088486845,0.10864229968211352
CatBoost_research_v1,KitchenQual__TA,0.040237770095860416,0.043057616908646255,0.1141053395845361
CatBoost_research_v1,SaleType__WD,0.03791719650932934,0.020431463884936864,0.06639416565725771
CatBoost_research_v1,BsmtCond__Fa,0.037916939981309336,0.03246488590766123,0.07611567609007913
CatBoost_research_v1,Neighborhood__StoneBr,0.03730942615210328,0.02983267377651469,0.07089947940346339
CatBoost_research_v1,Neighborhood__ClearCr,0.03086793021813128,0.01893525236103595,0.05291973967022914
CatBoost_research_v1,HasGarageYrBlt,0.030593106381366586,0.060042642433676505,0.1377741400453003
CatBoost_research_v1,FireplaceQu__TA,0.03045845487255731,0.04717386320729013,0.11063206803598992
CatBoost_research_v1,HasGarage,0.030302150503089292,0.04322661443965061,0.09660899616982
CatBoost_research_v1,ExterQual__Ex,0.03008992396889037,0.03812744801240746,0.08139710713048984
CatBoost_research_v1,FireplaceQu__Gd,0.029984517422156735,0.05070746321224742,0.11805621231138429
CatBoost_research_v1,IsRemodeled,0.02984816640836484,0.037496721824073403,0.07685227674730266
CatBoost_research_v1,Neighborhood__NAmes,0.026920892302278725,0.026130597314915148,0.06374326615189495
CatBoost_research_v1,LotConfig__Inside,0.02642118465695207,0.029622572813048954,0.0729006809139497
CatBoost_research_v1,ExterQual__Gd,0.02639632119213703,0.05742954003927481,0.12910524262335218
CatBoost_research_v1,ExterCond_Ord,0.026384689234414838,0.02200662030584424,0.05642524324916187
CatBoost_research_v1,HasScreenPorch,0.026317477042788646,0.033638351622016116,0.08456031207638831
CatBoost_research_v1,Condition1__RRAe,0.024167291368497473,0.02025342203521212,0.05087018754409832
CatBoost_research_v1,GarageFinish__NoFeature,0.022677615366939,0.028706024817809817,0.07166402422529951
CatBoost_research_v1,GarageType__NoFeature,0.02265144925590788,0.04609160293154476,0.1048447111848894
